Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
7.50333380699	0	-0.43710944	0.084276035	-0.28531253	-0.62254745	21.0	0.0	-0.020814737	-0.020814737	-0.02088795	-0.02088795	-0.69687134	0.03644885	0.11049406	3.85471e-05	0.7079208	1008	1008
13.5218098164	1	-0.40928516	0.08911896	-0.21991266	-0.6062526	21.0	0.0	-0.01948977	-0.01948977	-0.019727461	-0.019727461	-0.6939192	0.023891434	0.0020940562	9.779805e-05	0.6941285	1008	2016
16.2708609104	2	-0.42501223	0.08070258	-0.22343804	-0.59719276	21.0	0.0	-0.020238679	-0.020238679	-0.02017712	-0.02017712	-0.69497544	0.023300583	0.00034496083	0.0004042764	0.69500995	1008	3024
18.8520607948	3	-0.42184684	0.08979491	-0.28436804	-0.6293794	21.0	0.0	-0.020087944	-0.020087944	-0.020402666	-0.020402666	-0.68941593	0.021468269	0.00040066213	0.00050250936	0.689456	1008	4032
21.3989419937	4	-0.42676654	0.07690522	-0.2577978	-0.6216279	21.0	0.0	-0.020322219	-0.020322219	-0.020009506	-0.020009506	-0.6943724	0.021983974	0.00069618947	0.00085423974	0.69444203	1008	5040
23.7457528114	5	-0.41878128	0.08142419	-0.17406364	-0.5769214	21.0	0.0	-0.019941965	-0.019941965	-0.020466842	-0.020466842	-0.6951337	0.036797833	0.0021461402	0.002983714	0.6953483	1008	6048
26.0810890198	6	-0.44650778	0.0972136	-0.24161425	-0.68169636	21.0	0.0	-0.021262275	-0.021262275	-0.02137898	-0.02137898	-0.691004	0.02549438	0.00011780198	0.00014149265	0.6910158	1008	7056
28.4624459743	7	-0.42157903	0.08706529	-0.23395616	-0.61478025	21.0	0.0	-0.020075193	-0.020075193	-0.020053308	-0.020053308	-0.691753	0.01911503	0.00027624797	0.00040917966	0.6917806	1008	8064
30.8203589916	8	-0.43761578	0.089898035	-0.25649405	-0.5964484	21.0	0.0	-0.020838847	-0.020838847	-0.020273186	-0.020273186	-0.6948086	0.02702139	0.0018403296	0.0027213953	0.69499254	1008	9072
33.2197918892	9	-0.4255437	0.10048074	-0.2768165	-0.694214	21.0	0.0	-0.020263985	-0.020263985	-0.020207435	-0.020207435	-0.69459605	0.018507414	0.0002336077	0.00027266802	0.6946194	1008	10080
35.5619850159	10	-0.4924179	0.10369582	-0.29247046	-0.7291963	21.0	0.0	-0.02344847	-0.02344847	-0.01915026	-0.01915026	-0.64039075	0.16805406	0.16423902	0.1876263	0.6568147	1008	11088
37.9110989571	11	-0.46553087	0.123065345	-0.16107957	-0.8468913	21.0	0.0	-0.022168139	-0.022168139	-0.021463694	-0.021463694	-0.6984498	0.061920196	0.023341885	0.024184952	0.70078397	1008	12096
40.3335638046	12	-0.4589375	0.10895934	-0.23428835	-0.7328564	21.0	0.0	-0.021854166	-0.021854166	-0.021927789	-0.021927789	-0.69667006	0.04296185	0.009825269	0.010412866	0.6976526	1008	13104
42.8252208233	13	-0.5206253	0.10890163	-0.27872342	-0.85485196	21.0	0.0	-0.024791682	-0.024791682	-0.019183826	-0.019183826	-0.6488732	0.23683198	0.29968542	0.22475956	0.6788417	1008	14112
45.3108818531	14	-0.52797824	0.11766768	-0.2739979	-0.9401724	21.0	0.0	-0.025141822	-0.025141822	-0.015413176	-0.015413176	-0.67502403	0.28103125	0.28801197	0.21854003	0.7038251	1008	15120
47.8790969849	15	-0.55904555	0.15543415	-0.29509017	-0.9695442	21.0	0.0	-0.026621217	-0.026621217	-0.02177956	-0.02177956	-0.66149616	0.23873961	0.1892631	0.1758177	0.6804225	1008	16128
50.3615419865	16	-0.5713547	0.1259899	-0.26743165	-1.0019072	21.0	0.0	-0.027207367	-0.027207367	-0.019459687	-0.019459687	-0.6618525	0.2289698	0.2526945	0.2252552	0.6871219	1008	17136
52.9725627899	17	-0.5607123	0.14233924	-0.27400768	-0.89666116	21.0	0.0	-0.026700584	-0.026700584	-0.025147999	-0.025147999	-0.7043215	0.14047208	0.11234322	0.09749864	0.7155558	1008	18144
55.4651789665	18	-0.64621013	0.13818716	-0.36986816	-1.1199677	21.0	0.0	-0.030771913	-0.030771913	-0.023303041	-0.023303041	-0.6610029	0.24552077	0.2559976	0.17756298	0.6866026	1008	19152
57.9689059258	19	-0.62093765	0.12228413	-0.40459767	-0.94296753	21.0	0.0	-0.02956846	-0.02956846	-0.022104543	-0.022104543	-0.6678901	0.23976667	0.22812453	0.19474162	0.69070256	1008	20160
60.333081007	20	-0.6292565	0.12936224	-0.32691357	-0.8437754	21.0	0.0	-0.029964594	-0.029964594	-0.023514552	-0.023514552	-0.66526973	0.23078066	0.22081316	0.19259305	0.68735105	1008	21168
62.7785089016	21	-0.6727961	0.1340008	-0.4639831	-0.97281176	21.0	0.0	-0.03203791	-0.03203791	-0.025519257	-0.025519257	-0.66811687	0.25611117	0.22752094	0.21539165	0.690869	1008	22176
