Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
7.51493501663	0	-0.42860222	0.087410815	-0.25177664	-0.6315052	21.0	0.0	-0.020409627	-0.020409627	-0.020226873	-0.020226873	-0.6970869	0.03004154	0.1511346	2.2351162e-05	0.71220034	1008	1008
13.4599719048	1	-0.40657654	0.08666314	-0.22347537	-0.68927425	21.0	0.0	-0.019360788	-0.019360788	-0.019618317	-0.019618317	-0.69387877	0.027470272	0.002456176	3.921301e-05	0.69412434	1008	2016
16.2253859043	2	-0.4255608	0.09744005	-0.18878742	-0.6961165	21.0	0.0	-0.020264799	-0.020264799	-0.02023334	-0.02023334	-0.69295746	0.020863751	0.00024053623	0.00013574383	0.6929815	1008	3024
18.772384882	3	-0.42612457	0.08176245	-0.24547863	-0.6258472	21.0	0.0	-0.020291647	-0.020291647	-0.02017752	-0.02017752	-0.6942287	0.018577877	4.1372736e-05	4.4815482e-05	0.6942328	1008	4032
21.3318350315	4	-0.42518315	0.085516274	-0.2627222	-0.63676375	21.0	0.0	-0.020246819	-0.020246819	-0.020279044	-0.020279044	-0.6944009	0.014886521	0.00010800031	0.000102528276	0.69441175	1008	5040
23.7044849396	5	-0.3994898	0.06895427	-0.2900907	-0.5713445	21.0	0.0	-0.019023323	-0.019023323	-0.018963791	-0.018963791	-0.6905411	0.016036993	0.00053403666	0.00062387076	0.6905945	1008	6048
26.0308349133	6	-0.41795635	0.100593925	-0.18109527	-0.66006154	21.0	0.0	-0.019902684	-0.019902684	-0.019698903	-0.019698903	-0.6934444	0.011688773	0.00018207212	0.00019274467	0.6934626	1008	7056
28.4205629826	7	-0.40966702	0.09556098	-0.1915206	-0.64191264	21.0	0.0	-0.019507954	-0.019507954	-0.019529777	-0.019529777	-0.6955817	0.021099754	0.00022156801	0.00035512508	0.69560385	1008	8064
30.7996189594	8	-0.4363382	0.11937754	-0.2518915	-0.787378	21.0	0.0	-0.02077801	-0.02077801	-0.020664522	-0.020664522	-0.696617	0.032727897	0.0050943904	0.0048823957	0.69712645	1008	9072
33.1723258495	9	-0.4524281	0.10516349	-0.21661457	-0.7420987	21.0	0.0	-0.021544196	-0.021544196	-0.015698723	-0.015698723	-0.6656788	0.23136345	0.24664463	0.21324807	0.69034326	1008	10080
