Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.0403180122375488	0	20.632652	10.027907	64.0	9.0	20.632653061224488	10.027907746763162	1011	1011
1.5090348720550537	1	27.081081	14.607252	64.0	10.0	27.08108108108108	14.607251768784883	1002	2013
1.9602758884429932	2	27.45946	16.028008	97.0	12.0	27.45945945945946	16.028006897715677	1016	3029
2.33648681640625	3	36.607143	23.235348	91.0	9.0	36.607142857142854	23.235347588340925	1025	4054
2.670991897583008	4	33.4	16.712471	75.0	13.0	33.4	16.712470393890506	1002	5056
3.0235178470611572	5	39.46154	20.248894	79.0	12.0	39.46153846153846	20.248895068109025	1026	6082
3.4131898880004883	6	36.785713	20.77491	93.0	14.0	36.785714285714285	20.77491128201298	1030	7112
3.798379898071289	7	42.208332	18.986792	89.0	15.0	42.208333333333336	18.986791827185783	1013	8125
4.155004978179932	8	54.68421	32.4541	164.0	21.0	54.68421052631579	32.4541014058461	1039	9164
4.514570951461792	9	43.95652	23.428852	99.0	18.0	43.95652173913044	23.428853004769408	1011	10175
4.892300844192505	10	52.4	32.061504	145.0	17.0	52.4	32.06150339581723	1048	11223
5.238540887832642	11	61.52941	20.017984	126.0	36.0	61.529411764705884	20.01798499308537	1046	12269
5.571818828582764	12	72.71429	39.28	159.0	21.0	72.71428571428571	39.279999584355124	1018	13287
5.914446830749512	13	58.941177	29.23429	122.0	22.0	58.94117647058823	29.234288064119447	1002	14289
6.308589935302734	14	59.588234	22.138756	108.0	15.0	59.588235294117645	22.13875713480882	1013	15302
6.6718738079071045	15	59.88889	21.617607	107.0	19.0	59.888888888888886	21.617608277844266	1078	16380
7.061249017715454	16	73.85714	30.983538	131.0	30.0	73.85714285714286	30.983537432590467	1034	17414
7.398537874221802	17	73.57143	35.12572	165.0	25.0	73.57142857142857	35.12572172255842	1030	18444
7.741886854171753	18	95.545456	42.561962	172.0	31.0	95.54545454545455	42.561962609318485	1051	19495
8.080812931060791	19	95.36364	48.74474	200.0	42.0	95.36363636363636	48.744739067686666	1049	20544
8.412050008773804	20	67.53333	22.829416	114.0	35.0	67.53333333333333	22.829415722313662	1013	21557
8.775895833969116	21	90.5	33.104633	157.0	34.0	90.5	33.10463210287447	1086	22643
9.129234790802002	22	89.416664	42.468536	200.0	33.0	89.41666666666667	42.4685341033675	1073	23716
9.467206954956055	23	94.0	42.39211	200.0	31.0	94.0	42.392109042732336	1034	24750
9.83170485496521	24	135.75	37.51916	200.0	75.0	135.75	37.51916177102042	1086	25836
10.218886852264404	25	128.66667	62.652485	200.0	36.0	128.66666666666666	62.652480663843896	1158	26994
10.573230981826782	26	147.28572	51.662956	200.0	62.0	147.28571428571428	51.6629579533518	1031	28025
10.927459001541138	27	149.71428	48.31656	200.0	58.0	149.71428571428572	48.31655819611293	1048	29073
11.304195880889893	28	161.71428	40.969376	200.0	100.0	161.71428571428572	40.96937631839625	1132	30205
11.690506935119629	29	191.0	16.431677	200.0	155.0	191.0	16.431676725154983	1146	31351
12.075048923492432	30	143.75	46.612095	200.0	91.0	143.75	46.61209606958263	1150	32501
12.446939945220947	31	158.71428	55.551044	200.0	56.0	158.71428571428572	55.551042900623735	1111	33612
12.822119951248169	32	140.5	51.640583	200.0	68.0	140.5	51.6405848146591	1124	34736
13.1922287940979	33	140.125	51.488926	200.0	58.0	140.125	51.488924779995166	1121	35857
13.544976949691772	34	180.16667	44.348682	200.0	81.0	180.16666666666666	44.34868155374583	1081	36938
13.969138860702515	35	184.83333	16.55714	200.0	158.0	184.83333333333334	16.557140118054473	1109	38047
14.441663980484009	36	185.16667	20.763885	200.0	147.0	185.16666666666666	20.763884243775028	1111	39158
14.935395002365112	37	186.16667	30.932272	200.0	117.0	186.16666666666666	30.93227368874709	1117	40275
15.441809892654419	38	198.0	4.472136	200.0	188.0	198.0	4.47213595499958	1188	41463
15.94001293182373	39	194.66667	8.076028	200.0	179.0	194.66666666666666	8.076027626390479	1168	42631
16.336560010910034	40	187.16667	18.169724	200.0	160.0	187.16666666666666	18.16972451329103	1123	43754
16.8018159866333	41	200.0	0.0	200.0	200.0	200.0	0.0	1200	44954
17.443885803222656	42	200.0	0.0	200.0	200.0	200.0	0.0	1200	46154
17.855759859085083	43	200.0	0.0	200.0	200.0	200.0	0.0	1200	47354
18.259872913360596	44	200.0	0.0	200.0	200.0	200.0	0.0	1200	48554
18.651118993759155	45	191.83333	18.261223	200.0	151.0	191.83333333333334	18.261221816248284	1151	49705
19.04109287261963	46	190.66667	15.184055	200.0	159.0	190.66666666666666	15.184055965240498	1144	50849
19.55315089225769	47	189.0	15.652476	200.0	164.0	189.0	15.652475842498529	1134	51983
19.92446494102478	48	188.0	18.556221	200.0	151.0	188.0	18.556220879622373	1128	53111
20.281149864196777	49	176.83333	27.339937	200.0	134.0	176.83333333333334	27.339938226379044	1061	54172
20.62680697441101	50	177.5	17.997684	200.0	159.0	177.5	17.997685036322498	1065	55237
20.9897038936615	51	182.83333	29.059805	200.0	119.0	182.83333333333334	29.05980423578628	1097	56334
21.370357990264893	52	193.5	13.238202	200.0	164.0	193.5	13.238202294873727	1161	57495
21.707808017730713	53	167.16667	37.235363	200.0	116.0	167.16666666666666	37.235362523040145	1003	58498
22.040604829788208	54	167.0	26.583202	200.0	126.0	167.0	26.583202716502512	1002	59500
22.44290280342102	55	200.0	0.0	200.0	200.0	200.0	0.0	1200	60700
22.8284969329834	56	166.0	25.718254	200.0	129.0	166.0	25.718253662108776	1162	61862
