Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.746973991394043	0	19.307692	9.779371	73.0	9.0	19.307692307692307	9.779370873147016	1004	1004
1.1608669757843018	1	25.948717	13.450667	53.0	9.0	25.94871794871795	13.450667160936414	1012	2016
1.5417819023132324	2	25.846153	16.176174	79.0	10.0	25.846153846153847	16.176175043972982	1008	3024
1.9593679904937744	3	33.666668	18.083757	80.0	9.0	33.666666666666664	18.083755755434826	1010	4034
2.5310628414154053	4	30.117647	15.563466	67.0	12.0	30.11764705882353	15.563465336717181	1024	5058
2.879283905029297	5	29.67647	13.409217	63.0	9.0	29.676470588235293	13.409216734231926	1009	6067
3.231841802597046	6	38.037037	17.35358	79.0	17.0	38.03703703703704	17.353581083051292	1027	7094
3.570962905883789	7	43.739132	22.620148	90.0	13.0	43.73913043478261	22.620147601302826	1006	8100
3.925524950027466	8	37.785713	17.261347	74.0	11.0	37.785714285714285	17.26134646059377	1058	9158
4.2699549198150635	9	38.5	13.165368	87.0	20.0	38.5	13.16536832287358	1001	10159
4.606071949005127	10	52.94737	28.459526	151.0	20.0	52.94736842105263	28.45952561688178	1006	11165
4.949630975723267	11	41.64	16.653841	84.0	15.0	41.64	16.65384039793825	1041	12206
5.2897419929504395	12	46.772728	18.512728	104.0	17.0	46.77272727272727	18.51272736201139	1029	13235
5.634318828582764	13	50.38095	18.22211	83.0	24.0	50.38095238095238	18.222111608535464	1058	14293
6.013300895690918	14	48.904762	15.540745	78.0	25.0	48.904761904761905	15.540744487604991	1027	15320
6.367045879364014	15	48.95238	16.918507	88.0	21.0	48.95238095238095	16.918505479633804	1028	16348
6.71123194694519	16	46.272728	16.514957	83.0	25.0	46.27272727272727	16.514956907388303	1018	17366
7.098974943161011	17	47.409092	16.734991	81.0	20.0	47.40909090909091	16.73499080834441	1043	18409
7.499212980270386	18	57.833332	19.285141	100.0	26.0	57.833333333333336	19.28514108495623	1041	19450
7.875870943069458	19	61.17647	19.572594	105.0	35.0	61.1764705882353	19.57259577037015	1040	20490
8.342437982559204	20	56.11111	22.929575	105.0	22.0	56.111111111111114	22.929575488847703	1010	21500
8.906028985977173	21	49.31818	19.647778	96.0	21.0	49.31818181818182	19.64777656547789	1085	22585
9.297369003295898	22	57.333332	23.999998	107.0	26.0	57.333333333333336	24.0	1032	23617
9.635024785995483	23	56.333332	19.570387	100.0	31.0	56.333333333333336	19.570385790780925	1014	24631
9.975993871688843	24	64.5	25.610056	110.0	30.0	64.5	25.61005661844581	1032	25663
10.323450803756714	25	69.333336	21.353117	98.0	25.0	69.33333333333333	21.35311582780264	1040	26703
10.650560855865479	26	67.6	32.17411	131.0	31.0	67.6	32.17410967429143	1014	27717
11.00111198425293	27	61.411766	29.329885	130.0	24.0	61.411764705882355	29.32988603000141	1044	28761
11.357532978057861	28	57.5	28.998564	126.0	17.0	57.5	28.998563182796946	1035	29796
11.706628799438477	29	63.6875	27.183908	138.0	31.0	63.6875	27.183907808665037	1019	30815
12.043414831161499	30	63.0625	18.188145	108.0	38.0	63.0625	18.18814431848395	1009	31824
12.44569993019104	31	63.8125	19.539124	108.0	38.0	63.8125	19.539123413039796	1021	32845
12.910108804702759	32	68.73333	24.60208	130.0	37.0	68.73333333333333	24.602077599711414	1031	33876
13.250800848007202	33	65.375	26.205618	138.0	39.0	65.375	26.205617241347323	1046	34922
13.592481851577759	34	72.78571	30.998108	154.0	28.0	72.78571428571429	30.998107249656787	1019	35941
13.950020790100098	35	73.78571	17.485416	103.0	47.0	73.78571428571429	17.485416664133783	1033	36974
14.287258863449097	36	78.15385	30.869068	149.0	47.0	78.15384615384616	30.869068795219974	1016	37990
14.65654182434082	37	63.82353	18.608143	110.0	42.0	63.8235294117647	18.60814272780996	1085	39075
15.005745887756348	38	82.30769	25.335852	132.0	45.0	82.3076923076923	25.33585059641351	1070	40145
15.345354795455933	39	79.92308	40.44077	192.0	38.0	79.92307692307692	40.4407668238595	1039	41184
15.674229860305786	40	72.78571	16.763815	105.0	45.0	72.78571428571429	16.763815502566285	1019	42203
16.014246940612793	41	73.21429	21.36813	115.0	34.0	73.21428571428571	21.368129042466734	1025	43228
16.355659008026123	42	78.92308	35.26267	168.0	43.0	78.92307692307692	35.26266611165094	1026	44254
16.694697856903076	43	79.15385	39.768265	153.0	29.0	79.15384615384616	39.76826363948278	1029	45283
17.033217906951904	44	73.0	24.325178	136.0	37.0	73.0	24.325178020197214	1022	46305
17.37127995491028	45	68.4	16.255459	91.0	44.0	68.4	16.25546062097288	1026	47331
17.72369694709778	46	87.416664	33.104527	148.0	44.0	87.41666666666667	33.1045272164129	1049	48380
18.06057596206665	47	93.09091	45.601944	179.0	28.0	93.0909090909091	45.60194283232508	1024	49404
18.451231956481934	48	90.15385	51.36423	187.0	30.0	90.15384615384616	51.36422902827063	1172	50576
18.81196093559265	49	98.545456	29.105965	176.0	60.0	98.54545454545455	29.10596201456651	1084	51660
19.151265859603882	50	96.63636	37.460945	200.0	47.0	96.63636363636364	37.460943848888625	1063	52723
19.51504683494568	51	119.55556	50.73047	200.0	54.0	119.55555555555556	50.730466653812485	1076	53799
19.863889932632446	52	87.833336	40.69159	195.0	39.0	87.83333333333333	40.69159072284537	1054	54853
20.243239879608154	53	80.61539	19.277481	109.0	38.0	80.61538461538461	19.277481728046013	1048	55901
20.613748788833618	54	113.666664	31.916557	168.0	67.0	113.66666666666667	31.91655787622886	1023	56924
