Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.3866539001464844	0	8.78421	5.321004	36.0	3.0	8.784210526315789	5.3210040430217775	5007	5007
5.527347087860107	1	8.831283	6.138673	55.0	3.0	8.83128295254833	6.13867327700668	5025	10032
7.626435041427612	2	9.070652	5.134115	35.0	3.0	9.070652173913043	5.134115182298111	5007	15039
9.612626075744629	3	9.193015	5.918368	43.0	3.0	9.193014705882353	5.918368318937852	5001	20040
11.628238916397095	4	9.697675	5.7389665	51.0	3.0	9.69767441860465	5.738966024100483	5004	25044
13.640537977218628	5	9.032433	5.182336	42.0	3.0	9.032432432432433	5.18233593999696	5013	30057
15.679918050765991	6	10.450939	6.4853454	53.0	3.0	10.450939457202505	6.485345142907922	5006	35063
17.74749493598938	7	10.016	5.824753	46.0	3.0	10.016	5.824752698613049	5008	40071
19.75755000114441	8	10.082662	6.3461337	60.0	3.0	10.08266129032258	6.346133393379474	5001	45072
21.740703105926514	9	10.536842	6.8794284	45.0	3.0	10.536842105263158	6.879428566103575	5005	50077
23.7136390209198	10	10.748927	7.184811	68.0	3.0	10.74892703862661	7.184811182229521	5009	55086
25.775557041168213	11	10.696581	6.9726133	43.0	3.0	10.696581196581196	6.972613479831907	5006	60092
28.32144808769226	12	12.057693	7.58329	63.0	3.0	12.057692307692308	7.583289984053657	5016	65108
30.377830982208252	13	11.657343	7.5154276	54.0	3.0	11.657342657342657	7.515427702040026	5001	70109
32.369096994400024	14	11.794811	7.8291225	58.0	3.0	11.794811320754716	7.829122668399887	5001	75110
34.59286594390869	15	12.5375	8.009906	51.0	3.0	12.5375	8.009905976352032	5015	80125
36.787359952926636	16	12.5753765	7.9101806	42.0	3.0	12.575376884422111	7.910180243908729	5005	85130
38.99600696563721	17	12.732824	8.903918	58.0	4.0	12.732824427480915	8.903918365057995	5004	90134
40.983794927597046	18	13.269841	7.9056067	61.0	3.0	13.26984126984127	7.905606508075078	5016	95150
