Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.9365150928497314	0	20.685951	10.776492	74.0	9.0	20.68595041322314	10.776491906725628	5006	5006
3.828843116760254	1	25.401014	12.979742	70.0	8.0	25.401015228426395	12.979742083457111	5004	10010
6.039852142333984	2	26.748663	14.591255	89.0	9.0	26.74866310160428	14.591255744520671	5002	15012
7.6688010692596436	3	28.03352	15.626184	111.0	9.0	28.033519553072626	15.626184671546747	5018	20030
9.381360054016113	4	31.006172	17.04913	130.0	9.0	31.006172839506174	17.049129051134116	5023	25053
10.942686080932617	5	32.705883	15.90572	93.0	10.0	32.705882352941174	15.905719920275146	5004	30057
12.4933021068573	6	35.274647	16.785786	111.0	13.0	35.274647887323944	16.785785555254858	5009	35066
14.361469030380249	7	38.968994	18.35141	100.0	12.0	38.968992248062015	18.35140954580245	5027	40093
15.952795028686523	8	39.795277	18.228357	102.0	12.0	39.79527559055118	18.228358361248475	5054	45147
17.73369002342224	9	41.783333	20.558933	158.0	12.0	41.78333333333333	20.558932905727918	5014	50161
19.489454984664917	10	44.201756	18.527447	114.0	14.0	44.20175438596491	18.52744754982735	5039	55200
21.158309936523438	11	41.858334	17.69948	140.0	12.0	41.858333333333334	17.69948013988609	5023	60223
23.207519054412842	12	49.72277	21.765226	114.0	15.0	49.722772277227726	21.76522742788934	5022	65245
25.582698106765747	13	49.07843	20.092768	104.0	14.0	49.07843137254902	20.092768318872302	5006	70251
27.265394926071167	14	51.56701	22.290447	133.0	16.0	51.56701030927835	22.290447871666494	5002	75253
28.95622491836548	15	55.29348	23.512041	147.0	20.0	55.29347826086956	23.512040413869666	5087	80340
30.577203035354614	16	53.776596	22.363607	115.0	17.0	53.776595744680854	22.363607526571712	5055	85395
32.1664559841156	17	48.307693	18.072544	102.0	15.0	48.30769230769231	18.07254447789036	5024	90419
34.025864124298096	18	55.197803	20.530449	155.0	19.0	55.1978021978022	20.530448992387043	5023	95442
35.85184097290039	19	56.2809	22.794632	134.0	16.0	56.28089887640449	22.794632112069838	5009	100451
37.58616900444031	20	56.077778	19.91104	119.0	26.0	56.077777777777776	19.911039806419943	5047	105498
39.273136138916016	21	59.094116	23.151484	143.0	26.0	59.09411764705882	23.151482498287493	5023	110521
41.00625491142273	22	59.02353	20.850718	125.0	19.0	59.023529411764706	20.85071671533745	5017	115538
42.942949056625366	23	57.977013	25.140057	144.0	27.0	57.97701149425287	25.140056882082636	5044	120582
44.648845911026	24	62.012344	21.078041	126.0	31.0	62.01234567901235	21.07804066324699	5023	125605
46.35781693458557	25	58.860466	21.914295	115.0	19.0	58.86046511627907	21.914295424898178	5062	130667
48.01034712791443	26	62.098766	24.088625	148.0	19.0	62.098765432098766	24.088624915667022	5030	135697
49.606488943099976	27	60.698795	26.460125	200.0	21.0	60.69879518072289	26.46012455222943	5038	140735
51.1848931312561	28	64.5	24.779411	137.0	21.0	64.5	24.77941142903178	5031	145766
52.773550033569336	29	65.05195	27.050648	145.0	28.0	65.05194805194805	27.050648072461378	5009	150775
54.380006074905396	30	68.202705	30.225718	181.0	34.0	68.20270270270271	30.225718299975142	5047	155822
56.172033071517944	31	75.44776	32.808483	200.0	27.0	75.44776119402985	32.80848251349785	5055	160877
58.14657711982727	32	64.32051	25.905891	200.0	31.0	64.32051282051282	25.905891612716896	5017	165894
59.79806208610535	33	63.6962	21.936245	141.0	25.0	63.69620253164557	21.936245037351487	5032	170926
61.54773497581482	34	68.5946	23.66713	162.0	31.0	68.5945945945946	23.66712791520267	5076	176002
63.34905695915222	35	68.14865	21.650593	123.0	25.0	68.14864864864865	21.650592921431162	5043	181045
65.07507610321045	36	73.10145	24.952211	170.0	30.0	73.10144927536231	24.952212255636287	5044	186089
66.91497898101807	37	71.92857	24.685057	159.0	30.0	71.92857142857143	24.685057034901227	5035	191124
68.58456897735596	38	78.83077	27.834438	146.0	32.0	78.83076923076923	27.83443867462322	5124	196248
70.18734097480774	39	82.2459	33.14432	200.0	34.0	82.24590163934427	33.14432213458011	5017	201265
71.9994969367981	40	83.29508	32.72556	200.0	43.0	83.29508196721312	32.725557397246796	5081	206346
73.7535490989685	41	89.91071	28.41232	160.0	35.0	89.91071428571429	28.412319250706755	5035	211381
75.62853407859802	42	95.07547	41.68383	200.0	40.0	95.0754716981132	41.68382748541819	5039	216420
77.52076506614685	43	83.95	28.893152	170.0	27.0	83.95	28.89315086082975	5037	221457
79.3174819946289	44	90.35714	34.76987	200.0	42.0	90.35714285714286	34.76987025502138	5060	226517
81.12390398979187	45	97.01923	29.137928	184.0	43.0	97.01923076923077	29.1379282198777	5045	231562
83.04331493377686	46	103.71429	38.216354	200.0	47.0	103.71428571428571	38.21635508415693	5082	236644
84.83253002166748	47	111.347824	34.003975	200.0	64.0	111.34782608695652	34.003975081761524	5122	241766
86.71096110343933	48	113.111115	37.907036	200.0	52.0	113.11111111111111	37.90703377839716	5090	246856
88.48954010009766	49	119.09524	36.841885	200.0	73.0	119.0952380952381	36.841881914996534	5002	251858
90.3310649394989	50	120.46512	41.25719	200.0	50.0	120.46511627906976	41.25719040204023	5180	257038
92.20062112808228	51	137.08109	45.1953	200.0	45.0	137.0810810810811	45.195298953319394	5072	262110
94.0158920288086	52	161.0625	37.085995	200.0	57.0	161.0625	37.08599592501191	5154	267264
95.68218898773193	53	165.93549	27.751122	200.0	92.0	165.93548387096774	27.751123759717537	5144	272408
