Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
16.84184193611145	0	-293.0804040515826	-15.098858141492604	44.917491842605926	-169.5104903780386	-438.79818428404525	20.0	0.0	252	10080	-295.8723973139907	-14.981407003709451
33.02434492111206	1	-292.7015087792516	-14.97346355287802	48.872729663643696	-145.29673585136257	-425.98923078363975	20.0	0.0	252	20160	-272.8251166018084	-13.819241590313185
47.30079507827759	2	-293.3332673952477	-15.263115033576975	46.890790985124866	-160.13571368492467	-430.7650483503556	20.0	0.0	252	30240	-296.1947002592362	-15.289281513249534
62.155513048172	3	-288.35760182494573	-14.741167968184504	49.934865948840596	-158.7982924404192	-441.8599030973877	20.0	0.0	252	40320	-280.25897691160986	-14.102988943274022
75.95372486114502	4	-284.8072281230224	-14.466784344415725	50.618380236974744	-101.51273150358229	-443.8824459262252	20.0	0.0	252	50400	-284.25405895182706	-14.767003232633991
89.1854338645935	5	-283.73271886110405	-14.205180143965269	49.89972539779684	-129.85127791531497	-444.9194169119649	20.0	0.0	252	60480	-275.9966718881669	-13.253172416388082
102.46704387664795	6	-282.024406976834	-14.019180118329366	49.530342818776965	-121.11918615144289	-429.8284556970026	20.0	0.0	252	70560	-275.5085374274215	-13.489092492880062
115.72572803497314	7	-277.4105525786866	-13.768555459982394	49.23828686621799	-122.22566370454147	-400.051768005688	20.0	0.0	252	80640	-273.734732948034	-14.072477203863835
128.89844799041748	8	-274.4495228604007	-13.318633678285043	45.874698006440845	-107.40303225772418	-416.5588849917935	20.0	0.0	252	90720	-260.69274827106983	-12.446815659627129
141.9959740638733	9	-264.2685985868911	-12.554671474078965	48.94339025739542	-136.5482911084173	-425.4959486428048	20.0	0.0	252	100800	-262.26260808799066	-12.697997079207942
155.1626958847046	10	-258.6508267070928	-11.925796994138512	46.77828159852227	-132.95348401583163	-383.7445737650312	20.0	0.0	252	110880	-247.33459583966578	-11.016442644138857
168.3269259929657	11	-249.4428424717725	-11.341224391144976	49.45384294976711	-109.39000186032231	-374.30546972084454	20.0	0.0	252	120960	-235.58762978547563	-10.504289227160262
181.4332559108734	12	-245.01861923358004	-10.7227938469673	48.294209091220175	-128.47316320306152	-431.2113618909105	20.0	0.0	252	131040	-237.10904668142507	-10.29369515920954
194.52929997444153	13	-236.3849953689687	-10.177699632961435	47.72853827848619	-108.68063378217929	-384.2912000816324	20.0	0.0	252	141120	-227.82990697066614	-9.289122777889816
207.69343400001526	14	-228.76726600385993	-9.40876381557739	48.38256030831429	-115.02090061444427	-390.37928941066355	20.0	0.0	252	151200	-211.1234432330326	-8.316095382840386
220.84677004814148	15	-214.08056147150947	-8.393893107509816	45.96139947847309	-109.16170131813843	-373.4290036745947	20.0	0.0	252	161280	-199.89777483157158	-7.41814956940508
233.94613194465637	16	-203.16413312103273	-7.52005130649328	45.387227629464995	-91.35322429019338	-402.9629043493811	20.0	0.0	252	171360	-188.91486260782517	-6.468868383451003
247.10628986358643	17	-193.34785153396524	-7.1609906089047115	43.8455590730061	-96.25872306054185	-351.1839371918792	20.0	0.0	252	181440	-184.6154824962267	-6.566330582020824
260.2715139389038	18	-179.9286915831626	-6.188287638214796	36.972619937143506	-95.32325915024838	-305.50473674540024	20.0	0.0	252	191520	-174.4071776964798	-5.98716751265038
273.3709819316864	19	-177.05367768668552	-6.051490992935062	36.15328578471909	-97.48856267912105	-338.9907007596443	20.0	0.0	252	201600	-170.85841679322087	-5.265801981810143
286.48027205467224	20	-168.01303609810367	-5.483400574363859	35.41469893509598	-90.19176768428946	-300.191489469438	20.0	0.0	252	211680	-154.52866491864924	-5.217057219565429
299.6979010105133	21	-162.54923101660043	-5.1366319399273666	37.876263351141134	-88.32447086161794	-323.7004642044207	20.0	0.0	252	221760	-156.83951625238544	-4.96254616904401
312.8668329715729	22	-155.14624667313268	-4.9072198342856	33.91719413715132	-75.95303473188841	-292.35268303774086	20.0	0.0	252	231840	-144.38069653269125	-4.946039315027306
325.9773049354553	23	-146.42021043900462	-4.390664039670233	30.093494668966922	-79.84629578981574	-277.4318119846912	20.0	0.0	252	241920	-139.68327983449606	-4.1383994822896595
339.1541049480438	24	-139.95494895851007	-4.151914502791053	31.94825427924496	-72.7564889106046	-308.5277926047384	20.0	0.0	252	252000	-137.96756050156773	-3.733697379273035
352.31988406181335	25	-135.0965438402172	-3.919099560576882	31.010232870114894	-73.19472031531814	-263.4962183164291	20.0	0.0	252	262080	-131.21567346033376	-3.6505864317789034
365.3757748603821	26	-128.7917191342893	-3.5385129192917115	28.314446030027533	-68.0811412324609	-254.31084087706733	20.0	0.0	252	272160	-123.66177460499394	-3.1350344174973785
378.554162979126	27	-121.10902899198149	-3.3989909291422133	26.38499815107913	-74.61185215659555	-257.9101230258116	20.0	0.0	252	282240	-121.63085438561633	-3.293943131396592
391.715784072876	28	-116.80847148728608	-3.1554312489500274	23.32946362775483	-52.59850167861015	-211.68691316525397	20.0	0.0	252	292320	-112.52371429800269	-2.98147814900946
404.8666949272156	29	-113.3646563102798	-3.0775690297373566	24.77245089718373	-66.25381049161753	-223.80160300327708	20.0	0.0	252	302400	-107.26601309860145	-2.944562468834384
418.0106029510498	30	-108.5045870326692	-2.8160617304468842	23.853958564222143	-65.40459767875166	-321.19594820789064	20.0	0.0	252	312480	-107.42058528105973	-2.8427610978391757
