Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2.466398000717163	0	25.829897	15.37527	128.0	9.0	25.829896907216494	15.375269102990421	5011	5011
4.3720481395721436	1	27.096775	15.480521	102.0	9.0	27.096774193548388	15.480521591146653	5040	10051
6.172220945358276	2	32.309677	18.730196	115.0	9.0	32.30967741935484	18.730195645753405	5008	15059
7.962193965911865	3	34.57931	21.066616	134.0	9.0	34.57931034482758	21.066616495271813	5014	20073
9.755160093307495	4	35.8	18.87031	113.0	11.0	35.8	18.870309256304502	5012	25085
11.679599046707153	5	41.22131	22.229986	121.0	13.0	41.221311475409834	22.229987240353104	5029	30114
13.685257911682129	6	43.0	20.830227	105.0	11.0	43.0	20.830225756931817	5074	35188
15.497375965118408	7	46.766354	22.37638	120.0	10.0	46.76635514018692	22.376380838403634	5004	40192
17.310607194900513	8	50.0297	24.310064	164.0	12.0	50.02970297029703	24.31006614045625	5053	45245
19.11820912361145	9	55.04348	27.922216	142.0	14.0	55.04347826086956	27.9222184568826	5064	50309
20.914457082748413	10	55.054947	23.074825	133.0	16.0	55.05494505494506	23.074824603699298	5010	55319
22.784596920013428	11	64.20513	34.017097	200.0	16.0	64.2051282051282	34.01709938581756	5008	60327
24.70543599128723	12	59.011765	24.338541	152.0	14.0	59.01176470588236	24.338540783581266	5016	65343
26.517200231552124	13	63.58228	26.424772	144.0	19.0	63.58227848101266	26.424771459887	5023	70366
28.33280110359192	14	65.85526	28.2124	154.0	17.0	65.85526315789474	28.212401130749697	5005	75371
30.138838052749634	15	66.01316	29.312963	176.0	21.0	66.01315789473684	29.312963461066268	5017	80388
32.015018939971924	16	73.27536	29.12934	164.0	29.0	73.27536231884058	29.129338792562965	5056	85444
34.03414511680603	17	74.8806	27.61274	166.0	29.0	74.88059701492537	27.612738996112896	5017	90461
35.84949088096619	18	67.87838	25.232943	157.0	28.0	67.87837837837837	25.23294323691492	5023	95484
37.649168252944946	19	88.77193	32.447	200.0	22.0	88.7719298245614	32.44699728970128	5060	100544
39.45181202888489	20	78.1875	31.229431	200.0	36.0	78.1875	31.229430730482424	5004	105548
41.59431195259094	21	92.58929	37.13478	186.0	28.0	92.58928571428571	37.134781917512655	5185	110733
43.94049406051636	22	92.818184	31.445244	175.0	35.0	92.81818181818181	31.44524297545058	5105	115838
45.821187019348145	23	116.25	46.16183	200.0	26.0	116.25	46.161832423846356	5115	120953
47.710800886154175	24	120.85714	53.19039	200.0	27.0	120.85714285714286	53.19039092801283	5076	126029
49.83244800567627	25	115.75	46.401474	200.0	28.0	115.75	46.40147186145167	5093	131122
51.70808696746826	26	158.40625	44.73733	200.0	49.0	158.40625	44.737330172211884	5069	136191
53.73513603210449	27	157.8125	36.292595	200.0	100.0	157.8125	36.29259351093553	5050	141241
55.710537910461426	28	164.74193	38.61052	200.0	47.0	164.74193548387098	38.61051815740025	5107	146348
57.584331035614014	29	173.10345	34.0186	200.0	89.0	173.10344827586206	34.01860021404742	5020	151368
59.398948192596436	30	161.58064	40.947468	200.0	49.0	161.58064516129033	40.947467678248266	5009	156377
61.341947078704834	31	177.48276	35.300312	200.0	79.0	177.48275862068965	35.300308379677894	5147	161524
63.66408920288086	32	158.0625	43.669884	200.0	26.0	158.0625	43.66988199835214	5058	166582
66.04199719429016	33	170.73334	35.041817	200.0	100.0	170.73333333333332	35.04181628981136	5122	171704
67.99936628341675	34	178.82759	33.421104	200.0	89.0	178.82758620689654	33.42110521038985	5186	176890
69.86868405342102	35	183.60715	34.261955	200.0	75.0	183.60714285714286	34.26195233128171	5141	182031
71.7187671661377	36	187.2963	23.757751	200.0	113.0	187.2962962962963	23.75775088309749	5057	187088
73.85211205482483	37	184.17857	33.01737	200.0	89.0	184.17857142857142	33.01736942388763	5157	192245
75.82817506790161	38	178.3793	34.78546	200.0	89.0	178.3793103448276	34.78546445651416	5173	197418
77.70181107521057	39	182.71428	33.73728	200.0	78.0	182.71428571428572	33.73728029395158	5116	202534
79.5155861377716	40	188.92592	24.550669	200.0	100.0	188.92592592592592	24.55066707387583	5101	207635
81.35868120193481	41	184.35715	38.647873	200.0	74.0	184.35714285714286	38.64787398118175	5162	212797
83.2123761177063	42	184.60715	33.2462	200.0	88.0	184.60714285714286	33.24620202338294	5169	217966
85.23557806015015	43	198.11539	9.423077	200.0	151.0	198.1153846153846	9.423076923076925	5151	223117
87.20597195625305	44	200.0	0.0	200.0	200.0	200.0	0.0	5200	228317
89.06463098526001	45	197.96153	10.192307	200.0	147.0	197.96153846153845	10.192307692307692	5147	233464
90.95226287841797	46	200.0	0.0	200.0	200.0	200.0	0.0	5200	238664
92.82264399528503	47	199.65384	1.7307692	200.0	191.0	199.65384615384616	1.7307692307692306	5191	243855
94.75850009918213	48	200.0	0.0	200.0	200.0	200.0	0.0	5200	249055
96.73280906677246	49	200.0	0.0	200.0	200.0	200.0	0.0	5200	254255
98.5775990486145	50	198.11539	9.423077	200.0	151.0	198.1153846153846	9.423076923076925	5151	259406
100.43337106704712	51	199.11539	3.067534	200.0	188.0	199.1153846153846	3.06753375101391	5177	264583
102.24011301994324	52	193.84616	16.08318	200.0	124.0	193.84615384615384	16.083178760843715	5040	269623
104.07474398612976	53	189.7037	22.872942	200.0	111.0	189.7037037037037	22.87294182574818	5122	274745
105.93014812469482	54	192.92308	17.763237	200.0	123.0	192.92307692307693	17.76323575193152	5016	279761
107.90118193626404	55	190.11111	17.39164	200.0	126.0	190.11111111111111	17.391639824998364	5133	284894
