Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar
2.20916891098	0	-0.42860222	0.087410815	-0.25177664	-0.6315052	21.0	0.0	-0.020409627	-0.020409627	-0.020409627	-0.020409627	1008	1008
3.05309796333	1	-0.40660846	0.086677596	-0.2235476	-0.68927497	21.0	0.0	-0.019362308	-0.019362308	-0.019362308	-0.019362308	1008	2016
3.48136091232	2	-0.425608	0.09744936	-0.18877631	-0.6960493	21.0	0.0	-0.020267047	-0.020267047	-0.020267047	-0.020267047	1008	3024
3.91519999504	3	-0.42614743	0.08177427	-0.2454104	-0.6259779	21.0	0.0	-0.020292733	-0.020292733	-0.020292733	-0.020292733	1008	4032
4.34986686707	4	-0.4251956	0.085510954	-0.26275128	-0.63663334	21.0	0.0	-0.020247411	-0.020247411	-0.020247411	-0.020247411	1008	5040
4.77993083	5	-0.39949408	0.06891146	-0.29009533	-0.5712428	21.0	0.0	-0.01902353	-0.01902353	-0.01902353	-0.01902353	1008	6048
5.20703196526	6	-0.41796753	0.100615315	-0.18103209	-0.66015553	21.0	0.0	-0.019903215	-0.019903215	-0.019903215	-0.019903215	1008	7056
5.63955998421	7	-0.40965864	0.09557297	-0.19155361	-0.6420666	21.0	0.0	-0.019507555	-0.019507555	-0.019507555	-0.019507555	1008	8064
6.06626200676	8	-0.4362456	0.11932922	-0.25195092	-0.786867	21.0	0.0	-0.020773599	-0.020773599	-0.020773599	-0.020773599	1008	9072
6.49767494202	9	-0.45236316	0.10510167	-0.2165435	-0.7419747	21.0	0.0	-0.021541106	-0.021541106	-0.021541106	-0.021541106	1008	10080
6.92634701729	10	-0.43633616	0.10414674	-0.27294013	-0.75482404	21.0	0.0	-0.020777915	-0.020777915	-0.020777915	-0.020777915	1008	11088
7.41348290443	11	-0.44938123	0.10174477	-0.30868384	-0.6927351	21.0	0.0	-0.021399109	-0.021399109	-0.021399109	-0.021399109	1008	12096
7.91660904884	12	-0.44806576	0.101218626	-0.27929896	-0.7834548	21.0	0.0	-0.021336464	-0.021336464	-0.021336464	-0.021336464	1008	13104
8.35116505623	13	-0.5226984	0.111116655	-0.27394867	-0.7811613	21.0	0.0	-0.0248904	-0.0248904	-0.0248904	-0.0248904	1008	14112
8.78189897537	14	-0.29310092	1.4077885	9.325097	-0.78230625	21.0	0.0	-0.0139571875	-0.0139571875	-0.0139571875	-0.0139571875	1008	15120
9.21723985672	15	-0.5333269	0.11793121	-0.24285969	-0.801625	21.0	0.0	-0.025396518	-0.025396518	-0.025396518	-0.025396518	1008	16128
9.72557401657	16	0.66442764	4.35111	19.371395	-0.8834155	21.0	0.0	0.03163942	0.03163942	0.03163942	0.03163942	1008	17136
10.1919620037	17	1.4828783	6.055233	29.147024	-0.85663503	21.0	0.0	0.07061325	0.07061325	0.07061325	0.07061325	1008	18144
10.6301629543	18	9.317408	16.373835	59.01738	-0.83935225	21.0	0.0	0.44368607	0.44368607	0.44368607	0.44368607	1008	19152
11.0625920296	19	8.9239645	17.08564	59.227615	-0.93865824	21.0	0.0	0.4249507	0.4249507	0.4249507	0.4249507	1008	20160
11.4920668602	20	11.404655	17.005436	69.27577	-0.8303305	21.0	0.0	0.54307884	0.54307884	0.54307884	0.54307884	1008	21168
11.9337630272	21	21.306372	22.453766	69.11422	-0.96583223	21.0	0.0	1.0145891	1.0145891	1.0145891	1.0145891	1008	22176
12.3650929928	22	33.36064	26.388872	79.11072	-0.9187881	21.0	0.0	1.588602	1.588602	1.588602	1.588602	1008	23184
12.8024959564	23	44.734516	23.18467	89.13118	-0.8478664	21.0	0.0	2.1302152	2.1302152	2.1302152	2.1302152	1008	24192
13.2424628735	24	43.874264	26.166145	98.937706	-0.8397685	21.0	0.0	2.0892506	2.0892506	2.0892506	2.0892506	1008	25200
13.6846008301	25	49.031567	24.196875	88.85122	-0.68118584	21.0	0.0	2.3348365	2.3348365	2.3348365	2.3348365	1008	26208
14.1300358772	26	55.651356	22.970093	98.778885	-0.6434791	21.0	0.0	2.650065	2.650065	2.650065	2.650065	1008	27216
14.57822299	27	67.43215	25.000467	128.38213	-0.6639285	21.0	0.0	3.2110553	3.2110553	3.2110553	3.2110553	1008	28224
15.014829874	28	60.580357	22.824965	98.64847	-0.67144346	21.0	0.0	2.884779	2.884779	2.884779	2.884779	1008	29232
15.5196399689	29	70.459435	25.748898	118.5433	9.180707	21.0	0.0	3.355211	3.355211	3.355211	3.355211	1008	30240
16.0074288845	30	67.95489	24.484339	108.868385	-0.91297364	21.0	0.0	3.2359467	3.2359467	3.2359467	3.2359467	1008	31248
16.4796628952	31	80.76435	21.258074	118.860504	19.03584	21.0	0.0	3.8459215	3.8459215	3.8459215	3.8459215	1008	32256
16.9179608822	32	80.51313	17.27745	118.415306	48.713642	21.0	0.0	3.8339586	3.8339586	3.8339586	3.8339586	1008	33264
17.3551819324	33	81.33652	17.54564	128.6375	38.564148	21.0	0.0	3.8731673	3.8731673	3.8731673	3.8731673	1008	34272
17.8268289566	34	83.77899	18.842978	118.35685	38.84485	21.0	0.0	3.9894757	3.9894757	3.9894757	3.9894757	1008	35280
18.3119020462	35	89.72119	19.274887	128.35254	58.60486	21.0	0.0	4.2724376	4.2724376	4.2724376	4.2724376	1008	36288
18.774520874	36	89.90713	18.820248	128.08528	38.877254	21.0	0.0	4.2812915	4.2812915	4.2812915	4.2812915	1008	37296
19.2119479179	37	90.105255	19.9708	127.97146	39.120293	21.0	0.0	4.2907267	4.2907267	4.2907267	4.2907267	1008	38304
19.659252882	38	96.06599	14.632325	128.3405	58.588173	21.0	0.0	4.5745707	4.5745707	4.5745707	4.5745707	1008	39312
20.1388049126	39	92.82468	14.016809	118.297386	58.832417	21.0	0.0	4.4202228	4.4202228	4.4202228	4.4202228	1008	40320
20.6299068928	40	92.97727	20.139017	128.37413	38.552086	21.0	0.0	4.4274898	4.4274898	4.4274898	4.4274898	1008	41328
21.0941019058	41	94.134834	21.460068	138.05435	28.946692	21.0	0.0	4.4826117	4.4826117	4.4826117	4.4826117	1008	42336
21.5424239635	42	93.759544	21.625217	128.1624	-1.0378989	21.0	0.0	4.4647403	4.4647403	4.4647403	4.4647403	1008	43344
21.9795479774	43	97.056175	15.1754675	128.18762	68.36059	21.0	0.0	4.6217227	4.6217227	4.6217227	4.6217227	1008	44352
22.4185159206	44	93.94233	18.063921	128.29962	48.572647	21.0	0.0	4.4734445	4.4734445	4.4734445	4.4734445	1008	45360
22.8626768589	45	92.77073	15.760283	128.15755	58.844143	21.0	0.0	4.4176545	4.4176545	4.4176545	4.4176545	1008	46368
23.3205499649	46	94.93247	14.65618	118.24609	48.294884	21.0	0.0	4.5205946	4.5205946	4.5205946	4.5205946	1008	47376
23.7652618885	47	98.63943	22.112162	138.1394	38.705128	21.0	0.0	4.697116	4.697116	4.697116	4.697116	1008	48384
24.2039449215	48	99.91575	14.758074	127.92512	68.4735	21.0	0.0	4.757893	4.757893	4.757893	4.757893	1008	49392
24.649684906	49	98.64915	17.391674	127.93961	38.359108	21.0	0.0	4.6975784	4.6975784	4.6975784	4.6975784	1008	50400
25.0886268616	50	98.17062	15.222144	137.55054	58.34601	21.0	0.0	4.6747923	4.6747923	4.6747923	4.6747923	1008	51408
25.5288040638	51	96.16305	17.228127	137.56989	48.970387	21.0	0.0	4.579193	4.579193	4.579193	4.579193	1008	52416
25.9657070637	52	95.13147	15.545121	118.46429	68.348915	21.0	0.0	4.5300703	4.5300703	4.5300703	4.5300703	1008	53424
26.4105708599	53	103.812035	11.061852	128.3069	78.0544	21.0	0.0	4.9434304	4.9434304	4.9434304	4.9434304	1008	54432
26.8513128757	54	102.72742	13.9848795	128.24748	58.633247	21.0	0.0	4.8917813	4.8917813	4.8917813	4.8917813	1008	55440
27.2930760384	55	103.09994	13.997456	137.65405	68.5235	21.0	0.0	4.909521	4.909521	4.909521	4.909521	1008	56448
27.7415649891	56	99.223595	16.448198	137.26085	58.275192	21.0	0.0	4.7249327	4.7249327	4.7249327	4.7249327	1008	57456
28.195389986	57	102.44562	13.661223	128.18588	68.50201	21.0	0.0	4.878363	4.878363	4.878363	4.878363	1008	58464
